Data,Brent USD/b,PLN/USD,Eurodiesel
2023-12-29,77.04,3.935,5009.0
2023-12-28,78.39,3.899,5049.0
2023-12-22,79.07,3.9338,5090.0
2023-12-21,79.39,3.9645,5082.0
2023-12-20,79.7,3.9527,5039.0
2023-12-19,79.23,3.9591,4991.0
2023-12-15,76.55,3.9326,4944.0
2023-12-14,76.61,3.9484,4944.0
2023-12-13,74.26,4.0149,4970.0
2023-12-12,73.24,4.0204,5006.0
2023-12-08,75.84,4.0181,5007.0
2023-12-07,74.05,4.0199,5030.0
2023-12-06,74.3,4.0202,5054.0
2023-12-05,77.2,3.991,5055.0
2023-12-01,78.88,3.991,5135.0
2023-11-30,82.83,3.981,5160.0
2023-11-29,83.1,3.9478,5172.0
2023-11-28,81.68,3.975,5150.0
2023-11-24,80.58,4.0103,5211.0
2023-11-23,81.42,3.9969,5199.0
2023-11-22,81.96,4.018,5195.0
2023-11-21,82.45,3.9882,5187.0
2023-11-17,80.61,4.0327,5202.0
2023-11-16,77.42,4.0415,5246.0
2023-11-15,81.18,4.0453,5276.0
2023-11-14,82.47,4.121,5273.0
2023-11-10,81.43,4.1423,5303.0
2023-11-09,80.01,4.1513,5347.0
2023-11-08,79.54,4.1804,5376.0
2023-11-07,81.61,4.1667,5390.0
2023-11-03,84.89,4.1857,5279.0
2023-10-31,87.41,4.1684,5171.0
2023-10-27,90.48,4.2267,5064.0
2023-10-26,87.93,4.2395,5010.0
2023-10-25,90.13,4.2284,4951.0
2023-10-24,88.07,4.1884,4904.0
2023-10-20,92.16,4.2194,4821.0
2023-10-19,92.38,4.2264,4791.0
2023-10-18,91.5,4.2035,4779.0
2023-10-17,89.9,4.2131,4779.0
2023-10-13,90.89,4.3033,4758.0
2023-10-12,86.0,4.2659,4758.0
2023-10-11,85.82,4.2589,4758.0
2023-10-10,87.65,4.2985,4753.0
2023-10-06,84.58,4.3608,4751.0
2023-10-05,84.07,4.3768,4752.0
2023-10-04,85.81,4.4155,4749.0
2023-10-03,90.92,4.4012,4748.0
2023-09-29,95.31,4.3697,4746.0
2023-09-28,95.38,4.4062,4746.0
2023-09-27,96.55,4.3622,4746.0
2023-09-26,93.96,4.3485,4749.0
2023-09-22,93.27,4.3269,4755.0
2023-09-21,93.3,4.3365,4757.0
2023-09-20,93.53,4.3501,4757.0
2023-09-19,94.34,4.3472,4756.0
2023-09-15,93.93,4.3418,4869.0
2023-09-14,93.7,4.312,4897.0
2023-09-13,91.88,4.3225,4929.0
2023-09-12,92.06,4.3711,4969.0
2023-09-08,90.65,4.2958,5039.0
2023-09-07,89.92,4.289,5069.0
2023-09-06,90.6,4.1895,5099.0
2023-09-05,90.04,4.1643,5129.0
2023-09-01,88.55,4.1263,5100.0
2023-08-31,86.86,4.1074,5173.0
2023-08-30,85.86,4.1167,5212.0
2023-08-25,84.48,4.1419,5241.0
2023-08-24,83.36,4.118,5233.0
2023-08-23,83.21,4.1438,5242.0
2023-08-22,84.03,4.0924,5252.0
2023-08-18,84.8,4.1285,5203.0
2023-08-17,84.12,4.1094,5200.0
2023-08-11,86.81,4.0501,5224.0
2023-08-10,86.4,4.0521,5224.0
2023-08-09,87.55,4.0592,5206.0
2023-08-08,86.17,4.0396,5233.0
2023-08-04,86.24,4.062,5236.0
2023-08-03,85.14,4.081,5235.0
2023-08-02,83.2,4.0497,5234.0
2023-08-01,84.91,4.0262,5236.0
2023-07-28,84.99,4.0377,5235.0
2023-07-27,84.24,3.9702,5213.0
2023-07-26,82.92,3.9949,5172.0
2023-07-25,83.64,4.008,5129.0
2023-07-21,81.07,3.999,5042.0
2023-07-20,79.64,3.971,5033.0
2023-07-19,79.46,3.9612,5007.0
2023-07-18,79.63,3.9451,4999.0
2023-07-14,79.87,3.9617,5032.0
2023-07-13,81.36,3.9724,5040.0
2023-07-12,80.11,4.0347,5033.0
2023-07-11,79.4,4.0374,5016.0
2023-07-07,78.47,4.1189,4976.0
2023-07-06,76.52,4.1191,4959.0
2023-07-05,76.65,4.0869,4937.0
2023-07-04,76.25,4.0636,4930.0
2023-06-30,74.9,4.1066,4902.0
