Tabela,Data,Kurs średni,Zmiana
251/A/NBP/2023,2023-12-29,3.935,0.92
250/A/NBP/2023,2023-12-28,3.899,-0.48
249/A/NBP/2023,2023-12-27,3.9178,-0.41
248/A/NBP/2023,2023-12-22,3.9338,-0.77
247/A/NBP/2023,2023-12-21,3.9645,0.3
246/A/NBP/2023,2023-12-20,3.9527,-0.16
245/A/NBP/2023,2023-12-19,3.9591,-0.09
244/A/NBP/2023,2023-12-18,3.9625,0.76
243/A/NBP/2023,2023-12-15,3.9326,-0.4
242/A/NBP/2023,2023-12-14,3.9484,-1.66
241/A/NBP/2023,2023-12-13,4.0149,-0.14
240/A/NBP/2023,2023-12-12,4.0204,-0.18
239/A/NBP/2023,2023-12-11,4.0277,0.24
238/A/NBP/2023,2023-12-08,4.0181,-0.04
237/A/NBP/2023,2023-12-07,4.0199,-0.01
236/A/NBP/2023,2023-12-06,4.0202,0.73
235/A/NBP/2023,2023-12-05,3.991,0.15
234/A/NBP/2023,2023-12-04,3.985,-0.15
233/A/NBP/2023,2023-12-01,3.991,0.25
232/A/NBP/2023,2023-11-30,3.981,0.84
231/A/NBP/2023,2023-11-29,3.9478,-0.68
230/A/NBP/2023,2023-11-28,3.975,-0.05
229/A/NBP/2023,2023-11-27,3.9769,-0.83
228/A/NBP/2023,2023-11-24,4.0103,0.34
227/A/NBP/2023,2023-11-23,3.9969,-0.53
226/A/NBP/2023,2023-11-22,4.018,0.75
225/A/NBP/2023,2023-11-21,3.9882,-0.14
224/A/NBP/2023,2023-11-20,3.9938,-0.96
223/A/NBP/2023,2023-11-17,4.0327,-0.22
222/A/NBP/2023,2023-11-16,4.0415,-0.09
221/A/NBP/2023,2023-11-15,4.0453,-1.84
220/A/NBP/2023,2023-11-14,4.121,-0.64
219/A/NBP/2023,2023-11-13,4.1474,0.12
218/A/NBP/2023,2023-11-10,4.1423,-0.22
217/A/NBP/2023,2023-11-09,4.1513,-0.7
216/A/NBP/2023,2023-11-08,4.1804,0.33
215/A/NBP/2023,2023-11-07,4.1667,0.37
214/A/NBP/2023,2023-11-06,4.1512,-0.82
213/A/NBP/2023,2023-11-03,4.1857,-0.25
212/A/NBP/2023,2023-11-02,4.1963,0.67
211/A/NBP/2023,2023-10-31,4.1684,-0.85
210/A/NBP/2023,2023-10-30,4.204,-0.54
209/A/NBP/2023,2023-10-27,4.2267,-0.3
208/A/NBP/2023,2023-10-26,4.2395,0.26
207/A/NBP/2023,2023-10-25,4.2284,0.96
206/A/NBP/2023,2023-10-24,4.1884,-0.33
